branch_id,employer_id,street_n,street_name,city,open_to_public
2,5,20,EDITH ST,Citrus Park,0
3,5,188,PENNY LN,Hopewell Junction,0
4,5,134,BITTING AVE,Jamaica Beach,0
5,5,10,HEALY AVE,Harriston,0
6,5,1,MAHAN ST,Montoursville,0
7,5,196,CORA ST,South Wallins,0
8,5,35,WHIPPLE ST,Vayas,0
9,5,29,RESTANI STWY,Mabie,0
10,5,134,CRAVATH ST,Flemington,0
11,5,34,LUSK ST,Homestead,0
12,5,92,NAUTILUS DR,Hamilton,0
13,5,138,NIDO AVE,Midway South,0
14,5,161,ELMIRA ST,McIntosh,0
15,5,15,NELSON RISING LN,Brices Creek,0
